	Zn	bo
OG0000000	Znev_10803	Bo_m.101001, Bo_m.101817, Bo_m.101821, Bo_m.105687, Bo_m.105689, Bo_m.105690, Bo_m.105691, Bo_m.105692, Bo_m.105693, Bo_m.135781, Bo_m.135784, Bo_m.148526, Bo_m.151114, Bo_m.151116, Bo_m.156854, Bo_m.156865, Bo_m.156872, Bo_m.156876, Bo_m.156879, Bo_m.156888, Bo_m.156895, Bo_m.156904, Bo_m.157780, Bo_m.157781, Bo_m.158026, Bo_m.158040, Bo_m.16449, Bo_m.188613, Bo_m.188794, Bo_m.188795, Bo_m.188798, Bo_m.198242, Bo_m.199506, Bo_m.199510, Bo_m.199514, Bo_m.199517, Bo_m.199520, Bo_m.208033, Bo_m.211797, Bo_m.215588, Bo_m.21601, Bo_m.218377, Bo_m.218382, Bo_m.218385, Bo_m.218392, Bo_m.218394, Bo_m.219147, Bo_m.219685, Bo_m.219849, Bo_m.219854, Bo_m.219863, Bo_m.221436, Bo_m.221439, Bo_m.222989, Bo_m.223000, Bo_m.225492, Bo_m.225507, Bo_m.226890, Bo_m.226892, Bo_m.226894, Bo_m.248871, Bo_m.248884, Bo_m.251895, Bo_m.251945, Bo_m.252247, Bo_m.253576, Bo_m.253579, Bo_m.253580, Bo_m.253583, Bo_m.253586, Bo_m.253588, Bo_m.253590, Bo_m.253593, Bo_m.262555, Bo_m.265696, Bo_m.26618, Bo_m.26638, Bo_m.278133, Bo_m.284170, Bo_m.284417, Bo_m.290300, Bo_m.296664, Bo_m.326737, Bo_m.34841, Bo_m.34869, Bo_m.34871, Bo_m.35000, Bo_m.35008, Bo_m.362719, Bo_m.364860, Bo_m.364864, Bo_m.367306, Bo_m.367307, Bo_m.372291, Bo_m.377611, Bo_m.4320, Bo_m.44214, Bo_m.44215, Bo_m.44216, Bo_m.44217, Bo_m.50688, Bo_m.56675, Bo_m.56678, Bo_m.56681, Bo_m.56684, Bo_m.58330, Bo_m.69056, Bo_m.81652, Bo_m.84223, Bo_m.84239, Bo_m.84246, Bo_m.84255, Bo_m.84264, Bo_m.84277, Bo_m.84281, Bo_m.85247, Bo_m.85258, Bo_m.85259, Bo_m.89285, Bo_m.91673, Bo_m.91771, Bo_m.91777, Bo_m.91782, Bo_m.91784, Bo_m.91787, Bo_m.92119, Bo_m.92120, Bo_m.92122, Bo_m.92126, Bo_m.94677, Bo_m.96064
OG0000001	Znev_00005, Znev_00272, Znev_00300, Znev_00305, Znev_00307, Znev_00319, Znev_00925, Znev_00934, Znev_00951, Znev_01304, Znev_02547, Znev_02577, Znev_02623, Znev_02721, Znev_02724, Znev_02733, Znev_03286, Znev_03295, Znev_03659, Znev_04114, Znev_04194, Znev_04595, Znev_04893, Znev_04994, Znev_05352, Znev_05826, Znev_05913, Znev_06310, Znev_06663, Znev_06798, Znev_06799, Znev_07103, Znev_07358, Znev_08226, Znev_08254, Znev_08466, Znev_08476, Znev_08537, Znev_08556, Znev_08596, Znev_08688, Znev_08760, Znev_08925, Znev_09590, Znev_10003, Znev_10403, Znev_10673, Znev_10931, Znev_11319, Znev_11783, Znev_12482, Znev_12575, Znev_12580, Znev_12875, Znev_13266, Znev_13961, Znev_14093, Znev_14119, Znev_14217, Znev_14318, Znev_14992, Znev_15172, Znev_16129, Znev_16482, Znev_16502, Znev_16503, Znev_16685, Znev_16695, Znev_16716, Znev_16836, Znev_16841, Znev_16855, Znev_17115, Znev_17122, Znev_17129, Znev_17132, Znev_17193, Znev_17220, Znev_17276, Znev_17833	Bo_m.261747, Bo_m.261756
OG0000002	Znev_00778, Znev_01697, Znev_01726, Znev_01869, Znev_02326, Znev_02461, Znev_02720, Znev_03662, Znev_03980, Znev_05086, Znev_05691, Znev_05835, Znev_06288, Znev_06481, Znev_06571, Znev_06751, Znev_07011, Znev_07123, Znev_07235, Znev_07485, Znev_07792, Znev_08186, Znev_08233, Znev_08657, Znev_09437, Znev_09803, Znev_09852, Znev_10056, Znev_10060, Znev_10137, Znev_10352, Znev_10575, Znev_11010, Znev_12143, Znev_12328, Znev_12376, Znev_12921, Znev_13098, Znev_13751, Znev_13814, Znev_13990, Znev_14102, Znev_14114, Znev_14261, Znev_14294, Znev_14323, Znev_14354, Znev_14434, Znev_14458, Znev_14516, Znev_14527, Znev_14868, Znev_15368, Znev_15398, Znev_15405, Znev_15531, Znev_15773, Znev_15798, Znev_15998, Znev_16054, Znev_16493, Znev_16616, Znev_16767, Znev_16788, Znev_16803, Znev_16813, Znev_16865, Znev_17039, Znev_17085, Znev_17406, Znev_17519, Znev_18112, Znev_18265, Znev_18367	Bo_m.193669
OG0000003	Znev_03026, Znev_04642, Znev_16376, Znev_16401, Znev_18800, Znev_18806, Znev_18814, Znev_18817, Znev_18827, Znev_18831, Znev_18832, Znev_18833, Znev_18843, Znev_18853, Znev_18854, Znev_18856, Znev_18857, Znev_18863, Znev_18866, Znev_18889, Znev_18895, Znev_18904, Znev_18930, Znev_18942, Znev_18944, Znev_18945, Znev_18950, Znev_18952, Znev_18961, Znev_18962, Znev_18963, Znev_18974, Znev_18976, Znev_18977, Znev_18984, Znev_18985, Znev_18986, Znev_18987, Znev_18999, Znev_19003, Znev_19004, Znev_19014, Znev_19028, Znev_19037, Znev_19045, Znev_19053, Znev_19055, Znev_19057, Znev_19058, Znev_19060, Znev_19066	Bo_m.162265, Bo_m.21077, Bo_m.265886, Bo_m.295086, Bo_m.295087, Bo_m.323622, Bo_m.376389, Bo_m.376390
OG0000004	Znev_00518, Znev_01003, Znev_01339, Znev_01583, Znev_01595, Znev_02270, Znev_03066, Znev_03100, Znev_04706, Znev_05118, Znev_05311, Znev_05312, Znev_06785, Znev_06995, Znev_07571, Znev_07831, Znev_08019, Znev_08020, Znev_08277, Znev_08280, Znev_08614, Znev_08733, Znev_08878, Znev_09107, Znev_10068, Znev_10078, Znev_10613, Znev_11421, Znev_12311, Znev_12313, Znev_12374, Znev_13610, Znev_13740, Znev_14645, Znev_15336, Znev_15565, Znev_15657, Znev_15658, Znev_15732, Znev_15807, Znev_15885, Znev_16417, Znev_17568, Znev_18537, Znev_18778	Bo_m.25717, Bo_m.259450, Bo_m.264591, Bo_m.264595, Bo_m.298010, Bo_m.299337, Bo_m.317574, Bo_m.342953, Bo_m.376307
OG0000005		Bo_m.100685, Bo_m.101014, Bo_m.101023, Bo_m.143207, Bo_m.143218, Bo_m.143223, Bo_m.143234, Bo_m.143245, Bo_m.151806, Bo_m.151820, Bo_m.183838, Bo_m.191380, Bo_m.191384, Bo_m.191387, Bo_m.191388, Bo_m.194301, Bo_m.194319, Bo_m.194683, Bo_m.194687, Bo_m.221537, Bo_m.221543, Bo_m.253860, Bo_m.253866, Bo_m.253867, Bo_m.253870, Bo_m.253873, Bo_m.253877, Bo_m.253882, Bo_m.253886, Bo_m.253891, Bo_m.260502, Bo_m.260506, Bo_m.283950, Bo_m.283951, Bo_m.286975, Bo_m.30183, Bo_m.30193, Bo_m.313537, Bo_m.363280, Bo_m.363281, Bo_m.365698, Bo_m.42127, Bo_m.62154, Bo_m.62162, Bo_m.62170, Bo_m.62182, Bo_m.62196, Bo_m.62203, Bo_m.73267, Bo_m.81144, Bo_m.81160
OG0000006	Znev_07836, Znev_18799, Znev_18819, Znev_18820, Znev_18825, Znev_18826, Znev_18828, Znev_18829, Znev_18830, Znev_18834, Znev_18859, Znev_18883, Znev_18884, Znev_18885, Znev_18886, Znev_18887, Znev_18888, Znev_18915, Znev_18917, Znev_18918, Znev_18919, Znev_18920, Znev_18922, Znev_18933, Znev_18934, Znev_18935, Znev_18936, Znev_18937, Znev_18938, Znev_18939, Znev_18940, Znev_18941, Znev_18943, Znev_18946, Znev_18990, Znev_19006, Znev_19007, Znev_19018, Znev_19019, Znev_19020, Znev_19030, Znev_19031, Znev_19050, Znev_19059	Bo_m.262594, Bo_m.303591, Bo_m.333893, Bo_m.341408, Bo_m.360392
OG0000007	Znev_01944, Znev_02123, Znev_02633, Znev_06181, Znev_06252, Znev_06859, Znev_08327, Znev_08543, Znev_10808, Znev_10994, Znev_11937, Znev_12742, Znev_13358, Znev_13380, Znev_13456, Znev_13602, Znev_15478, Znev_15490, Znev_15620, Znev_15645, Znev_15665, Znev_15846, Znev_15892, Znev_15950, Znev_15988, Znev_16024, Znev_16145, Znev_16168, Znev_16198, Znev_16317, Znev_16535, Znev_17350, Znev_17439, Znev_17839, Znev_17934, Znev_17980, Znev_17994, Znev_18445, Znev_18602, Znev_18645, Znev_18772	Bo_m.308006, Bo_m.379119
OG0000008	Znev_08779, Znev_12267, Znev_14668	Bo_m.101027, Bo_m.183841, Bo_m.191399, Bo_m.191403, Bo_m.192833, Bo_m.194321, Bo_m.198218, Bo_m.222304, Bo_m.253796, Bo_m.253799, Bo_m.314688, Bo_m.314689, Bo_m.314691, Bo_m.314692, Bo_m.328193, Bo_m.339150, Bo_m.351391, Bo_m.354316, Bo_m.41639, Bo_m.41649, Bo_m.41663, Bo_m.41674, Bo_m.41689, Bo_m.41697, Bo_m.42639, Bo_m.42645, Bo_m.42649, Bo_m.62126, Bo_m.62132, Bo_m.62138, Bo_m.62144, Bo_m.62150, Bo_m.62158, Bo_m.62165, Bo_m.62172, Bo_m.62178, Bo_m.62185, Bo_m.62191, Bo_m.62198, Bo_m.62205
OG0000009	Znev_05866, Znev_07384, Znev_08862, Znev_10013, Znev_10399, Znev_13265, Znev_13272, Znev_15112, Znev_15752, Znev_16541, Znev_16592, Znev_16594, Znev_16595, Znev_16757, Znev_16811, Znev_16866, Znev_16875, Znev_17106, Znev_17155, Znev_17179, Znev_17232, Znev_17247, Znev_17547, Znev_17683, Znev_17730, Znev_17792, Znev_17910, Znev_17953, Znev_18128, Znev_18258, Znev_18290, Znev_18442, Znev_18665	Bo_m.112738, Bo_m.8127
