Subcomponent ID	Famliy Name	Gene NAME	Component ID	ORF type(Based on Predicted protein)	Predicted protein length	"E-value(Overall,hmmsearch)"	"E-value(Best domain,hmmsearch)"	"Query Coverage(BLASTP, Trinotate, %)"	"Target ID(BLASTX,Trinotate)"	"Identity(BLASTX,Trinotate)"	"Query coordinates(BALSTX, Trinotate)"	"Target coordinates(BALSTP, Trinotate)"	"E-value(BLASTX, Trinotate)"	"Traget Length(BLASTX, Trinotate)"	"Full Name(BLASTX, Trinotate)"	"Target ID(BLASTP,Trinotate)"	"Identity(BLASTP,Trinotate)"	"Query coordinates(BALSTP, Trinotate)"	"Target coordinates(BALSTP, Trinotate)_2"	"E-value(BLASTP, Trinotate)"	"Traget Length(BLASTP, Trinotate)"	"Target Coverage(BLASTP, Trinotate,%)"	"Full Name(BLASTP, Trinotate)"	"Best Domain ID(PFAM, Trinotate)"	"Best Domain Name(PFAM,Trinoate)"	"E-value(Pfam,Trinotate)"
TRINITY_DN203797_c6_g1_i2	Apaf-caspas	Apoptotic protease-activating factor 1	TRINITY_DN203797_c6_g1	complete	1399	7.30E-150	5.10E-142	92.566	APAF_MOUSE	0.25403	4304-420	1-1205	2.10E-88	1249	Apoptotic protease-activating factor 1	APAF_MOUSE	0.263	1-1295	1-1205	8.81E-103	1249	96.477	Apoptotic protease-activating factor 1	PF00931.19	NB-ARC domain	2.10E-34
TRINITY_DN200927_c0_g1_i2	ATG12	Autophagy protein 12-like	TRINITY_DN200927_c0_g1	complete	133	7.10E-53	7.10E-53	83.459	APG12_DROME	0.57658	231-563	1-111	2.04E-42	111	Autophagy protein 12-like	APG12_DROME	0.57658	22-132	1-111	7.68E-46	111	100	Autophagy protein 12-like	PF04110.10	Ubiquitin-like autophagy protein Apg12	7.90E-39
TRINITY_DN210395_c7_g1_i1	ATG13	Autophagy-related protein 13 homolog	TRINITY_DN210395_c7_g1	complete	404	1.90E-151	2.30E-151	96.04	ATG13_DROME	0.5339	296-955	26-260	4.92E-73	523	Autophagy-related protein 13 homolog	ATG13_DROME	0.36747	11-398	10-505	1.98E-86	523	94.837	Autophagy-related protein 13 homolog	PF10033.6	Autophagy-related protein 13	0.000000001
TRINITY_DN207592_c4_g3_i4	ATG14	Beclin 1-associated autophagy-related key regulator	TRINITY_DN207592_c4_g3	5prime_partial	495	3.90E-14	1.60E-13	95.758	BAKOR_HUMAN	0.35181	2819-1443	26-490	4.44E-76	492	Beclin 1-associated autophagy-related key regulator {ECO:0000303|PubMed:19050071}	BAKOR_HUMAN	0.35031	19-492	5-490	1.75E-88	492	98.78	Beclin 1-associated autophagy-related key regulator {ECO:0000303|PubMed:19050071}	PF10186.6	Vacuolar sorting 38 and autophagy-related subunit 14	6.00E-57
TRINITY_DN206239_c0_g1_i1	ATG14	UV radiation resistance associated protein	TRINITY_DN206239_c0_g1	complete	880	3.30E-78	4.70E-78	65.682	UVRAG_MOUSE	0.35798	2973-1240	33-563	5.11E-76	698	UV radiation resistance associated protein	UVRAG_MOUSE	0.36807	22-599	33-563	1.05E-83	698	76.074	UV radiation resistance associated protein	PF10186.6	Vacuolar sorting 38 and autophagy-related subunit 14	6.90E-15
TRINITY_DN209538_c7_g1_i2	ATG18B	WD repeat domain phosphoinositide-interacting protein 2	TRINITY_DN209538_c7_g1	complete	461	1.70E-219	2.10E-219	95.011	WIPI2_XENLA	0.65682	128-1441	1-435	0	435	WD repeat domain phosphoinositide-interacting protein 2	WIPI2_XENLA	0.65682	23-460	1-435	0	435	100	WD repeat domain phosphoinositide-interacting protein 2			
TRINITY_DN209743_c1_g1_i1	ATG18B	WD repeat domain phosphoinositide-interacting protein 3	TRINITY_DN209743_c1_g1	complete	345	4.90E-48	6.40E-48	99.71	WIPI3_XENLA	0.77616	121-1152	1-344	0	344	WD repeat domain phosphoinositide-interacting protein 3	WIPI3_XENLA	0.77616	1-344	1-344	0	344	100	WD repeat domain phosphoinositide-interacting protein 3	PF00400.29	"WD domain, G-beta repeat"	0.042
TRINITY_DN204622_c2_g1_i2	ATG18B	WD repeat domain phosphoinositide-interacting protein 4	TRINITY_DN204622_c2_g1	complete	354	4.80E-40	6.60E-40	98.023	WIPI4_DANRE	0.62222	2523-1483	1-358	1.69E-150	358	WD repeat domain phosphoinositide-interacting protein 4	WIPI4_DANRE	0.62222	7-353	1-358	2.87E-167	358	100	WD repeat domain phosphoinositide-interacting protein 4			
TRINITY_DN211938_c7_g1_i2	ATG2	Autophagy-related protein 2 homolog B	TRINITY_DN211938_c7_g1	complete	2186	0	0	99.588	ATG2B_MOUSE	0.37223	5046-220	531-2072	0	2075	Autophagy-related protein 2 homolog B	ATG2B_MOUSE	0.37225	Jul-83	Jan-72	0	2075	99.855	Autophagy-related protein 2 homolog B	PF09333.8	Autophagy-related protein C terminal domain	5.40E-31
TRINITY_DN206859_c0_g1_i1	ATG3	Ubiquitin-like-conjugating enzyme ATG10	TRINITY_DN206859_c0_g1	5prime_partial	128	4.90E-43	6.00E-43	91.406	ATG10_HUMAN	0.46032	8-358	87-212	8.64E-33	220	Ubiquitin-like-conjugating enzyme ATG10	ATG10_HUMAN	0.46032	3-119	87-212	8.30E-33	220	57.273	Ubiquitin-like-conjugating enzyme ATG10	PF03987.12	"Autophagocytosis associated protein, active-site domain"	2.70E-19
TRINITY_DN203305_c6_g1_i2	ATG3	Ubiquitin-like-conjugating enzyme ATG3	TRINITY_DN203305_c6_g1	complete	317	1.80E-12	2.30E-12	99.685	ATG3_BOVIN	0.71384	628-1575	1-314	9.78E-147	314	Ubiquitin-like-conjugating enzyme ATG3	ATG3_BOVIN	0.71384	1-316	1-314	1.37E-159	314	100	Ubiquitin-like-conjugating enzyme ATG3	PF03986.10	"Autophagocytosis associated protein (Atg3), N-terminal domain"	2.10E-53
TRINITY_DN203283_c6_g1_i1	ATG4b	Cysteine protease ATG4D	TRINITY_DN203283_c6_g1	complete	434	2.30E-202	2.80E-202	83.871	ATG4D_MOUSE	0.46465	328-1419	64-440	8.21E-117	474	Cysteine protease ATG4D	ATG4D_MOUSE	0.46851	38-401	64-440	1.52E-125	474	79.536	Cysteine protease ATG4D	PF03416.16	Peptidase family C54	1.50E-102
TRINITY_DN207415_c8_g2_i1	ATG5	Autophagy protein 5	TRINITY_DN207415_c8_g2	complete	265	3.90E-136	4.40E-136	98.491	ATG5_BOVIN	0.58303	1647-865	1-269	1.54E-108	275	Autophagy protein 5	ATG5_BOVIN	0.58303	1-261	1-269	1.13E-113	275	97.818	Autophagy protein 5	PF04106.9	Autophagy protein Apg5	4.00E-58
TRINITY_DN199491_c0_g1_i1	ATG6	Beclin-1-like protein	TRINITY_DN199491_c0_g1	complete	429	1.20E-249	1.40E-249	96.737	BECN1_DROME	0.63221	233-1477	6-420	1.05E-166	422	Beclin-1-like protein	BECN1_DROME	0.63221	5-419	6-420	0	422	98.341	Beclin-1-like protein	PF04111.9	Autophagy protein Apg6	1.70E-123
TRINITY_DN208632_c6_g1_i2	ATG7	Ubiquitin-like modifier-activating enzyme ATG7	TRINITY_DN208632_c6_g1	complete	735	4.10E-258	4.70E-258	98.639	ATG7_MOUSE	0.46595	178-2352	5-697	0	698	Ubiquitin-like modifier-activating enzyme ATG7	ATG7_CHICK	0.48794	6-730	15-708	0	709	97.884	Ubiquitin-like modifier-activating enzyme ATG7	PF16420.2	Ubiquitin-like modifier-activating enzyme ATG7 N-terminus	1.20E-85
TRINITY_DN208319_c2_g1_i1	ATG8	Gamma-aminobutyric acid receptor-associated protein	TRINITY_DN208319_c2_g1	complete	118	5.40E-90	6.00E-90	98.305	GBRAP_RAT	0.93966	1026-679	1-116	1.13E-71	117	Gamma-aminobutyric acid receptor-associated protein	GBRAP_RAT	0.93966	1-116	1-116	4.33E-77	117	99.145	Gamma-aminobutyric acid receptor-associated protein	PF02991.13	Autophagy protein Atg8 ubiquitin like	3.00E-49
TRINITY_DN211417_c2_g1_i1	ATG9	Autophagy-related protein 9A	TRINITY_DN211417_c2_g1	complete	814	0	0	99.263	ATG9A_HUMAN	0.49022	4454-2058	2-757	0	839	Autophagy-related protein 9A	ATG9A_BOVIN	0.48733	3-810	2-769	0	839	91.538	Autophagy-related protein 9A	PF04109.13	Autophagy protein Apg9	5.80E-134
TRINITY_DN198255_c0_g1_i2	Attacin	Attacin-A	TRINITY_DN198255_c0_g1	complete	217	1.80E-11	0.000000018	58.986	ATTA_DROME	0.36923	502-119	97-223	3.50E-09	224	Attacin-A	ATTA_DROME	0.36923	89-216	97-223	1.22E-09	224	56.696	Attacin-A	PF03769.12	"Attacin, C-terminal region"	1.00E-23
TRINITY_DN144643_c0_g1_i1	Attacin	Attacin-B	TRINITY_DN144643_c0_g1	5prime_partial	139	1.40E-12	5.10E-09	80.576	ATTB_DROME	0.27586	637-302	107-217	0.000457	218	Attacin-B	ATTB_DROME	0.27586	27-138	107-217	0.0000967	218	50.917	Attacin-B	PF03769.12	"Attacin, C-terminal region"	6.00E-19
TRINITY_DN207862_c0_g2_i1	Attacin	Holotricin-2	TRINITY_DN207862_c0_g2	complete	120	8.50E-10	9.10E-10	36.667								HOL2_HOLDI	0.43478	73-116	82-127	0.000286	127	36.22	Holotricin-2	PF06286.8	Coleoptericin	0.0000049
TRINITY_DN212656_c6_g1_i7	Cactus_Toll	NF-kappa-B inhibitor cactus	TRINITY_DN212656_c6_g1	complete	448	1.90E-86	2.30E-86	79.911	CACT_DROME	0.49402	1053-1760	218-461	8.97E-63	500	NF-kappa-B inhibitor cactus	CACT_DROME	0.39663	86-443	72-472	7.55E-72	500	80.2	NF-kappa-B inhibitor cactus	PF12796.4	Ankyrin repeats (3 copies)	1.70E-11
TRINITY_DN204960_c1_g1_i4	Caspar_IMD	FAS-associated factor 1	TRINITY_DN204960_c1_g1	complete	670	1.80E-256	2.00E-256	99.403	FAF1_HUMAN	0.42814	465-2462	6-649	2.09E-166	650	FAS-associated factor 1	FAF1_HUMAN	0.42964	4-669	6-649	0	650	99.077	FAS-associated factor 1	PF00789.17	UBX domain	1.10E-14
TRINITY_DN204197_c0_g1_i1	Caspar_IMD	FAS-associated factor 2	TRINITY_DN204197_c0_g1	complete	444	2.70E-41	7.00E-39	97.973	FAF2_XENTR	0.53318	2744-1440	9-442	3.44E-140	445	FAS-associated factor 2	FAF2_XENTR	0.53318	7-441	9-442	7.48E-151	445	97.528	FAS-associated factor 2	PF00789.17	UBX domain	1.30E-11
TRINITY_DN200568_c1_g1_i1	CASPs	Caspase-1-1	TRINITY_DN200568_c1_g1	complete	305	4.60E-35	5.70E-35	98.361	CASP1_DROME	0.34967	200-1105	31-322	5.90E-43	323	Caspase-1	CASP1_DROME	0.35197	2-301	33-322	5.48E-45	323	89.783	Caspase-1	PF00656.19	Caspase domain	3.70E-33
TRINITY_DN200683_c1_g1_i2	CASPs	Caspase-1-2	TRINITY_DN200683_c1_g1	complete	491	2.40E-40	6.30E-40	51.731	CASP1_SPOFR	0.41221	1581-820	45-299	1.05E-57	299	Caspase-1	CASP1_SPOFR	0.41221	47-300	45-299	4.62E-59	299	85.284	Caspase-1	PF00656.19	Caspase domain	2.20E-46
TRINITY_DN200765_c0_g1_i1	CASPs	Caspase-1-3	TRINITY_DN200765_c0_g1	complete	368	2.10E-26	3.00E-26	78.533	CASP1_SPOFR	0.33667	428-1294	42-298	1.02E-41	299	Caspase-1	CASP1_SPOFR	0.33667	77-365	42-298	8.02E-43	299	85.953	Caspase-1	PF00656.19	Caspase domain	7.20E-28
